feed_flow_m3_h,feed_temp_C,reflux_ratio_LD,reboiler_steam_t_h,top_pressure_bar_a,top_temp_C,bottoms_temp_C,purity_lab_pct_vv
11.9,82.95,3.29,1.53,1.14,78.07,101.75,94.38
11.41,83.91,2.6,2.5,1.161,78.07,102.1,94.87
12.66,86.22,3.25,2.28,1.165,78.2,102.48,94.54
11.67,86.76,2.55,2.06,1.157,78.07,101.31,94.08
11.97,85.79,3.42,2.79,1.183,78.52,103.5,95.2
11.52,88.21,2.6,3.21,1.176,78.45,103.33,94.43
11.62,88.18,2.27,1.92,1.132,77.8,100.99,93.23
11.23,86.71,2.9,2.95,1.157,78.32,102.65,94.82
12.75,86.06,3.1,2.72,1.178,78.27,102.94,94.82
11.91,85.44,3.72,2.16,1.161,78.44,102.72,94.99
12.58,87.21,2.49,2.24,1.14,77.92,101.64,93.79
12.01,88.02,3.1,1.74,1.169,77.89,101.82,93.89
11.58,86.13,2.26,2.81,1.142,78.08,101.69,94.27
11.8,86.99,2.8,2.32,1.155,78.24,102.2,94.56
11.66,85.29,2.77,3.21,1.181,78.43,102.75,94.98
12.0,82.89,3.32,1.77,1.153,78.12,101.6,94.74
11.77,83.8,2.92,1.51,1.134,77.9,101.11,94.03
11.82,87.68,2.85,2.44,1.153,78.19,102.57,94.36
11.17,86.98,3.48,2.1,1.184,78.25,102.29,94.57
11.52,89.5,3.24,2.69,1.155,78.28,103.01,94.35
12.99,86.12,3.04,2.6,1.158,78.44,102.36,94.66
11.6,87.9,2.94,2.6,1.18,78.26,102.63,94.43
11.37,88.91,2.94,3.14,1.186,78.55,103.18,94.5
12.2,88.19,2.38,3.06,1.157,78.14,102.72,93.96
12.84,84.66,3.39,1.52,1.137,78.09,101.75,93.98
11.13,85.59,3.35,2.15,1.16,78.15,102.39,94.78
11.87,86.29,3.01,2.43,1.189,78.14,101.9,94.76
11.62,83.83,3.38,2.38,1.175,78.35,102.74,95.23
10.94,87.04,3.22,1.89,1.142,78.2,102.15,94.32
12.44,88.25,2.31,2.7,1.155,78.23,102.01,93.96
11.99,84.94,3.78,1.64,1.153,78.31,102.28,94.5
12.04,90.34,3.66,2.19,1.187,78.33,102.88,94.11
11.55,85.36,3.25,1.98,1.158,78.22,102.29,94.56
12.27,85.55,3.31,2.28,1.178,78.23,102.27,94.65
11.68,85.48,3.47,2.0,1.163,78.19,102.31,94.63
11.91,84.44,2.73,2.63,1.181,78.24,102.4,94.93
11.34,86.92,2.37,3.26,1.174,78.32,102.71,94.25
11.27,86.04,3.17,3.25,1.192,78.63,103.23,95.3
12.8,89.66,2.48,2.78,1.149,78.05,101.73,93.98
11.7,87.34,2.52,1.65,1.124,77.91,101.04,93.29
12.18,87.18,2.91,2.35,1.161,78.13,102.34,94.5
11.98,85.51,3.09,2.34,1.157,78.35,102.75,94.65
11.74,82.89,2.51,2.73,1.183,78.28,102.3,94.88
11.7,85.8,2.63,2.02,1.141,77.89,101.28,94.1
12.38,84.13,3.45,2.73,1.174,78.47,103.25,95.39
11.82,88.09,3.36,3.16,1.201,78.65,103.52,94.86
11.91,85.93,3.56,1.9,1.156,78.16,102.14,94.45
12.01,89.66,3.76,2.44,1.185,78.41,102.77,94.67
12.71,87.62,3.09,2.0,1.151,78.09,101.5,94.15
12.41,87.84,2.82,2.5,1.152,78.26,102.07,94.35
12.23,86.51,2.25,2.8,1.168,78.21,101.9,94.18
11.66,86.46,2.76,2.75,1.166,78.24,102.48,94.67
11.17,87.44,3.37,2.61,1.187,78.48,102.94,94.81
12.57,88.03,2.32,2.51,1.144,78.17,101.8,93.74
12.58,84.44,2.77,2.79,1.152,78.36,102.99,94.78
11.92,87.08,3.34,2.4,1.157,78.27,102.64,94.87
12.33,91.77,3.37,1.76,1.147,78.05,102.29,93.24
12.47,85.8,2.85,3.18,1.177,78.47,102.86,94.75
12.5,85.44,3.1,1.89,1.15,78.15,101.65,94.28
12.55,84.48,3.07,3.03,1.186,78.49,102.97,95.07
11.73,82.81,3.28,3.0,1.173,78.48,102.84,95.86
12.91,88.62,2.26,3.25,1.169,78.21,102.93,93.91
11.25,86.13,3.68,2.41,1.166,78.53,103.07,95.17
12.52,86.66,3.68,1.83,1.155,78.22,102.52,94.49
12.3,90.06,2.78,1.8,1.165,78.1,101.83,93.37
12.52,91.52,3.27,3.15,1.202,78.47,103.56,94.31
13.13,84.05,3.69,1.64,1.154,78.15,102.55,94.41
12.89,88.32,3.43,2.51,1.193,78.34,102.29,94.56
11.31,87.37,2.55,3.11,1.184,78.48,102.98,94.39
10.99,86.88,3.05,1.58,1.148,78.06,101.49,93.75
12.49,87.06,2.8,2.73,1.18,78.24,102.35,94.47
11.39,85.95,3.56,1.86,1.158,78.06,102.53,94.64
11.99,89.5,3.15,1.66,1.143,78.11,101.61,93.54
12.5,87.36,3.66,1.52,1.144,78.13,101.79,93.77
11.01,86.76,3.75,2.52,1.189,78.4,102.73,94.86
10.73,88.75,3.4,2.7,1.167,78.33,103.51,94.77
12.16,87.98,3.01,2.29,1.153,78.22,101.55,94.39
12.03,87.02,2.53,2.02,1.144,77.94,101.41,93.82
11.85,86.73,2.35,1.98,1.128,77.9,101.56,93.53
12.02,89.87,3.25,2.49,1.173,78.36,102.83,94.32
11.48,87.13,3.11,2.45,1.184,78.25,102.32,94.75
11.09,85.81,2.62,2.5,1.145,78.12,101.98,94.35
11.9,84.12,3.75,1.98,1.182,78.36,102.44,95.04
11.42,85.25,3.32,2.67,1.17,78.4,103.0,94.99
11.01,83.7,3.27,2.5,1.161,78.32,102.68,95.34
12.3,86.24,3.39,2.18,1.167,78.32,102.12,94.86
11.96,86.57,3.7,2.52,1.192,78.32,102.79,95.01
12.24,81.49,2.74,2.65,1.155,78.33,102.61,95.4
11.41,86.05,3.3,3.15,1.182,78.61,103.16,95.17
11.61,87.43,3.22,2.44,1.163,78.24,102.3,94.64
11.4,86.37,2.76,2.27,1.144,78.09,102.49,94.64
11.47,83.91,2.66,2.62,1.161,78.29,102.0,95.06
12.12,88.8,3.58,2.57,1.173,78.5,102.76,94.59
11.53,84.47,2.52,1.57,1.124,77.66,100.63,93.63
12.21,83.3,3.6,2.03,1.169,78.2,102.69,95.1
12.2,83.63,3.3,3.2,1.187,78.6,103.35,95.78
13.22,85.97,3.7,2.5,1.193,78.61,103.1,95.04
11.16,88.17,3.66,2.22,1.166,78.43,102.2,94.68
12.53,88.57,3.7,2.72,1.18,78.53,103.24,94.72
11.95,86.47,2.33,2.96,1.181,78.26,102.27,94.15
11.99,83.38,2.46,3.29,1.188,78.37,102.79,95.14
11.13,84.56,2.28,2.86,1.157,78.14,102.47,94.53
11.72,84.03,2.44,2.47,1.158,78.11,101.95,94.52
12.45,85.61,2.8,3.08,1.178,78.22,102.15,94.81
11.95,82.1,2.64,2.8,1.158,78.33,101.98,95.18
12.05,86.25,3.7,1.62,1.164,78.21,101.9,94.09
11.83,87.42,3.34,1.65,1.152,78.04,101.72,93.73
12.69,85.68,3.45,3.04,1.203,78.51,103.51,95.35
11.99,87.02,2.42,3.09,1.148,78.19,102.66,94.38
10.68,83.94,2.9,2.06,1.157,78.1,101.39,94.84
11.58,82.8,3.74,2.19,1.175,78.39,102.27,95.37
10.82,84.6,2.54,2.09,1.134,77.99,101.67,94.39
10.05,88.55,2.93,2.39,1.155,78.34,101.96,94.35
11.68,88.27,3.16,3.01,1.178,78.31,102.57,94.84
12.8,85.0,2.21,2.93,1.143,78.11,101.87,94.41
12.03,88.65,3.76,2.23,1.169,78.34,102.76,94.52
11.3,85.29,2.9,3.22,1.19,78.55,102.84,95.04
11.44,89.33,2.85,2.18,1.136,78.09,101.6,93.8
12.68,87.06,3.57,2.35,1.17,78.31,103.08,94.66
12.09,85.01,3.24,2.02,1.133,78.18,101.82,94.6
12.03,87.75,3.29,2.16,1.156,78.26,102.39,94.34
11.97,84.3,3.45,2.39,1.176,78.49,102.8,95.07
12.02,83.94,3.67,2.49,1.18,78.48,102.99,95.56
12.48,82.81,3.57,2.29,1.173,78.33,103.35,95.41
12.33,86.57,3.27,1.98,1.145,78.12,101.76,94.18
12.13,85.88,3.14,2.69,1.179,78.3,103.42,94.84
11.37,85.83,2.51,2.48,1.142,78.14,101.65,94.26
12.31,85.1,3.67,1.86,1.172,78.31,102.3,94.67
11.59,89.16,2.98,3.01,1.18,78.41,103.05,94.58
12.66,85.07,2.88,1.55,1.131,77.89,101.48,93.71
11.24,84.41,3.04,2.33,1.175,78.32,102.44,95.03
11.92,88.74,3.68,2.7,1.182,78.54,103.25,94.71
12.0,89.13,3.44,2.16,1.176,78.32,102.39,94.36
11.21,86.75,2.35,2.69,1.154,78.04,102.26,94.33
13.03,82.17,3.65,2.67,1.185,78.47,103.65,95.74
12.88,84.68,3.75,1.97,1.178,78.14,102.44,94.9
11.72,87.35,3.14,2.46,1.171,78.18,102.82,94.62
12.46,86.04,2.67,2.91,1.167,78.33,102.69,94.62
12.23,89.42,2.89,2.67,1.165,78.38,102.56,94.1
10.43,82.99,3.45,2.81,1.186,78.48,102.95,95.73
12.15,87.49,2.36,1.6,1.124,77.66,100.42,93.03
11.96,84.62,3.51,2.67,1.178,78.48,103.24,95.29
12.05,88.91,2.44,1.73,1.118,77.92,100.27,93.08
11.35,85.83,3.0,1.82,1.119,78.01,101.51,94.19
11.84,88.27,3.69,1.9,1.163,78.34,102.54,94.11
11.89,84.58,3.71,2.79,1.187,78.57,103.05,95.4
12.71,82.9,3.09,2.71,1.184,78.26,103.15,95.5
12.2,83.56,3.31,2.01,1.163,78.12,102.59,94.9
12.0,84.67,2.98,1.62,1.15,77.93,101.12,94.22
12.92,83.75,2.28,3.2,1.183,78.46,102.45,94.55
11.67,88.64,3.56,2.86,1.187,78.6,103.36,94.65
11.77,88.95,2.37,2.62,1.143,78.09,101.78,93.82
10.91,86.6,3.34,2.27,1.174,78.31,102.39,94.83
12.94,83.72,2.8,2.81,1.162,78.32,102.69,95.02
12.58,85.74,2.22,2.35,1.138,77.94,101.86,93.99
12.55,84.49,2.61,2.3,1.163,78.07,101.81,94.63
12.4,89.2,3.08,2.26,1.165,78.18,102.25,94.22
12.07,86.7,3.42,2.93,1.197,78.59,103.37,95.04
12.13,87.08,3.0,1.99,1.136,78.21,101.66,94.16
11.85,85.12,3.51,1.71,1.155,78.25,102.18,94.24
11.88,81.58,3.15,2.64,1.183,78.33,102.61,95.64
12.03,84.3,2.37,1.87,1.118,77.9,100.81,93.96
12.91,83.54,3.28,3.04,1.188,78.47,103.49,95.63
12.33,86.81,2.83,2.46,1.163,78.11,101.72,94.33
11.96,86.21,3.33,2.55,1.151,78.38,102.68,94.85
11.65,84.24,2.94,2.65,1.183,78.34,102.43,95.0
11.62,85.15,3.34,2.94,1.178,78.51,103.23,95.38
12.96,89.45,3.1,2.69,1.17,78.42,102.35,94.06
12.3,83.89,2.51,1.79,1.149,77.94,100.87,93.93
12.04,83.98,3.5,1.9,1.142,78.27,102.2,95.03
11.79,85.5,2.9,3.09,1.183,78.42,103.15,95.08
11.33,84.46,2.43,2.72,1.152,78.06,102.07,94.53
11.96,85.06,2.6,2.63,1.158,78.32,102.1,94.66
12.52,87.17,3.51,2.98,1.182,78.54,103.27,95.09
11.76,89.81,3.44,2.43,1.187,78.43,102.8,94.41
11.86,82.09,3.07,1.81,1.135,78.08,101.0,94.79
11.87,85.96,2.39,2.85,1.162,78.17,102.35,94.32
12.07,86.09,2.28,3.18,1.171,78.42,102.71,94.42
11.04,85.82,2.5,2.8,1.159,78.26,102.24,94.56
11.86,85.59,2.92,2.6,1.162,78.27,102.21,94.91
11.49,85.25,3.41,2.03,1.159,78.19,102.63,94.8
12.53,88.21,3.52,2.86,1.197,78.46,103.19,94.76
11.54,84.98,3.13,2.53,1.173,78.21,102.92,95.19
12.35,85.72,2.81,3.24,1.179,78.5,103.02,94.88
12.91,86.0,2.82,1.93,1.133,77.98,101.4,94.16
11.81,86.24,3.09,3.16,1.186,78.48,103.22,94.98
11.64,85.62,3.68,2.54,1.187,78.52,102.99,95.15
12.11,88.2,2.83,2.84,1.169,78.3,102.6,94.41
12.0,85.98,3.09,2.98,1.194,78.5,103.19,94.96
11.4,86.38,3.53,2.76,1.165,78.46,103.2,95.14
12.28,85.89,3.76,2.67,1.212,78.51,103.27,95.32
13.21,83.79,3.76,2.67,1.186,78.62,103.39,95.67
11.85,84.17,2.55,2.63,1.145,78.11,102.21,94.91
11.88,83.69,3.43,2.26,1.151,78.36,102.58,95.18
11.37,86.42,2.47,2.13,1.149,78.01,101.59,94.15
12.19,84.43,3.45,1.87,1.163,78.18,102.3,94.73
11.25,83.66,2.22,3.08,1.159,78.09,102.36,94.84
11.34,86.52,3.48,2.81,1.184,78.41,103.45,94.97
12.77,87.16,3.08,2.67,1.173,78.26,102.71,94.83
11.46,82.13,3.39,2.09,1.158,78.14,102.64,95.25
12.65,89.72,2.53,2.75,1.171,78.27,102.33,93.99
12.91,86.07,3.17,3.28,1.196,78.51,103.69,95.03
12.16,85.77,2.86,2.25,1.152,78.03,101.94,94.61
12.33,88.35,2.4,1.53,1.106,77.71,100.34,92.78
13.17,86.15,2.42,2.57,1.165,78.1,101.8,94.03
11.88,84.67,3.74,1.7,1.155,78.08,102.27,94.45
11.64,90.83,2.46,2.73,1.147,78.22,102.22,93.63
11.19,83.64,2.68,1.58,1.144,77.91,101.04,94.0
12.03,85.79,3.62,1.77,1.164,78.15,102.58,94.19
12.89,87.86,2.9,2.86,1.151,78.42,102.41,94.39
12.58,83.65,3.15,1.77,1.131,77.93,101.29,94.45
11.43,85.78,2.33,2.66,1.148,78.07,101.87,94.28
11.49,86.85,3.06,1.95,1.137,78.08,101.68,94.25
11.7,91.28,2.46,2.13,1.139,77.98,101.46,93.12
12.18,84.04,2.66,2.14,1.172,78.12,101.82,94.39
11.88,85.9,2.76,2.85,1.198,78.28,103.25,94.8
12.13,87.45,2.94,3.03,1.177,78.34,102.64,94.66
12.18,86.18,3.0,2.02,1.159,78.12,101.61,94.44
11.82,83.35,3.68,2.67,1.195,78.54,103.29,95.54
11.98,86.9,3.55,1.92,1.16,78.26,101.95,94.46
12.12,86.24,3.76,2.64,1.172,78.51,103.17,95.04
11.95,86.98,2.8,1.95,1.155,78.03,101.9,94.04
12.3,88.49,2.36,1.56,1.12,77.7,100.67,92.81
13.12,88.23,2.51,2.06,1.144,78.01,101.41,93.65
12.36,86.9,3.05,2.22,1.164,78.13,102.42,94.34
12.03,86.68,2.27,1.76,1.117,77.74,100.41,93.28
10.99,83.58,2.23,1.57,1.136,77.8,100.6,93.43
12.23,85.7,2.68,2.65,1.161,78.15,102.25,94.61
10.83,86.48,2.45,3.09,1.169,78.29,102.6,94.57
11.15,85.12,3.78,2.61,1.182,78.58,103.09,95.64
12.51,86.21,2.28,1.83,1.135,77.79,100.81,93.44
12.42,84.18,3.02,3.18,1.194,78.57,103.2,95.37
11.91,89.38,3.62,1.67,1.151,78.12,102.29,93.73
10.97,90.73,3.01,2.36,1.166,78.3,102.09,94.09
11.78,85.14,2.55,2.52,1.149,78.01,102.13,94.59
11.59,86.88,3.1,3.25,1.175,78.44,102.86,95.08
12.38,85.48,2.31,2.04,1.131,77.9,101.29,93.87
13.35,88.78,2.47,1.9,1.14,78.01,101.39,93.54
12.13,86.96,2.71,2.16,1.153,78.18,101.52,94.28
11.53,86.17,3.73,2.09,1.182,78.27,102.62,94.6
11.3,85.51,2.97,1.8,1.137,78.01,101.59,94.25
11.97,86.28,2.55,1.89,1.133,77.88,101.34,93.84
11.89,83.8,3.11,2.04,1.155,77.97,102.3,94.61
11.31,87.49,2.64,2.44,1.16,78.19,102.04,94.16
12.07,84.43,2.23,3.05,1.159,78.19,102.21,94.46
11.31,87.18,2.28,2.24,1.13,78.06,101.34,93.69
12.67,86.29,3.78,1.8,1.148,78.28,102.48,94.41
12.64,88.41,2.27,2.37,1.154,77.96,101.73,93.41
12.65,85.96,3.21,2.19,1.171,78.16,102.34,94.71
11.72,88.25,2.55,2.74,1.153,78.19,102.11,94.25
12.31,83.97,3.14,2.12,1.172,78.21,102.05,94.91
11.92,87.34,3.19,3.01,1.182,78.45,103.0,94.84
11.77,85.51,3.02,2.2,1.161,78.38,101.89,94.65
11.8,86.43,3.19,2.41,1.179,78.3,102.39,94.71
11.22,86.16,2.36,3.13,1.161,78.19,102.34,94.56
11.13,88.06,2.4,2.84,1.151,78.2,102.38,94.16
12.48,81.56,2.89,2.91,1.156,78.46,102.49,95.76
11.89,86.71,3.04,2.98,1.181,78.47,103.02,94.84
12.13,82.71,2.95,1.94,1.152,78.03,101.45,94.93
12.6,88.65,3.43,2.99,1.197,78.51,103.61,94.68
10.96,81.66,3.0,3.17,1.189,78.43,103.27,95.75
11.53,83.79,3.33,3.18,1.192,78.5,103.84,95.47
12.11,82.32,2.51,3.2,1.183,78.31,102.86,95.26
12.24,89.61,2.76,2.5,1.148,78.21,101.93,93.99
11.77,83.16,3.63,2.71,1.19,78.48,103.31,95.69
12.62,86.25,2.66,2.02,1.148,78.12,101.37,94.2
12.13,84.82,3.71,2.71,1.186,78.58,103.26,95.37
11.27,82.04,2.28,1.97,1.149,77.83,100.83,94.37
11.44,85.26,3.09,1.84,1.152,78.06,101.68,94.47
12.48,87.46,2.95,2.7,1.182,78.43,102.62,94.56
12.28,85.59,2.33,1.96,1.142,77.74,101.17,93.71
10.86,88.07,3.61,1.57,1.152,78.15,102.58,93.86
12.81,85.2,2.38,2.98,1.181,78.44,102.29,94.55
12.36,86.02,3.28,2.35,1.178,78.37,102.55,94.88
12.81,85.15,3.57,1.88,1.161,78.15,102.27,94.68
11.77,86.76,2.21,2.96,1.156,78.19,102.08,94.03
11.82,90.18,3.22,2.11,1.148,78.17,102.12,93.98
11.32,86.8,3.13,1.65,1.142,78.23,101.58,94.02
13.52,86.43,2.7,2.52,1.155,78.12,102.09,94.36
11.89,84.64,3.55,2.07,1.168,78.26,102.67,94.96
12.95,84.34,2.3,1.66,1.119,77.73,100.84,93.45
11.61,89.22,2.69,2.63,1.166,78.1,102.04,94.11
12.1,83.55,3.33,2.75,1.178,78.18,103.04,95.62
11.0,83.99,3.6,2.73,1.169,78.5,103.37,95.55
11.77,85.79,3.27,2.57,1.168,78.41,102.71,94.9
12.59,85.06,3.27,2.81,1.171,78.41,103.0,95.21
11.25,90.3,3.76,1.82,1.151,78.3,102.4,93.86
12.64,80.79,3.23,1.72,1.146,78.12,101.91,95.07
12.2,86.79,2.53,3.17,1.18,78.4,102.75,94.35
11.37,87.57,2.85,2.52,1.15,78.09,102.16,94.35
11.7,83.53,2.54,2.42,1.13,78.21,101.85,94.74
11.72,84.58,2.24,2.55,1.145,78.11,102.0,94.16
11.97,86.95,3.73,2.74,1.219,78.62,103.2,95.17
11.68,89.58,3.26,2.5,1.165,78.34,102.85,94.15
