timestamp,feed_flow_m3_h,feed_temp_C,reflux_ratio_LD,reboiler_steam_t_h,top_pressure_bar_a,top_temp_C,bottoms_temp_C,purity_lab_pct_vv
10:12,11.9,84.7,3.0,2.43,1.17,78.3,102.5,95.1
10:19,11.9,85.1,2.99,2.4,1.16,78.2,102.4,
10:26,12.2,85.4,2.99,2.39,1.17,78.2,102.4,
10:33,11.9,85.3,3.01,2.38,1.16,78.2,102.5,
10:40,11.9,85.9,3.01,2.4,1.16,78.3,102.4,
10:47,12.1,85.9,3.01,2.39,1.16,78.2,102.4,
10:54,12.2,86.2,2.99,2.4,1.15,78.1,102.4,
11:01,11.9,86.2,3.0,2.39,1.15,78.2,102.4,
11:08,12.0,86.5,3.0,2.4,1.16,78.2,102.0,
11:15,12.0,86.8,3.0,2.41,1.16,78.2,102.3,94.4
11:22,12.1,86.8,3.01,2.4,1.16,78.2,102.2,
11:29,11.9,87.0,3.0,2.4,1.16,78.1,102.1,
11:36,12.0,87.2,3.01,2.39,1.16,78.1,102.6,
11:43,12.1,87.2,3.02,2.38,1.17,78.3,102.6,
11:50,12.0,87.5,3.07,2.4,1.17,78.2,102.6,
11:57,12.0,87.6,3.12,2.4,1.16,78.1,102.5,
12:04,12.0,87.9,3.14,2.42,1.16,78.3,102.7,
12:11,11.9,88.2,3.2,2.4,1.17,78.3,102.5,
12:18,12.0,88.0,3.24,2.41,1.17,78.3,102.6,94.5
12:25,12.0,88.3,3.29,2.43,1.16,78.3,102.5,
12:32,12.0,88.8,3.34,2.48,1.17,78.4,102.8,
12:39,12.0,88.6,3.4,2.53,1.18,78.4,102.9,
12:46,12.0,88.8,3.42,2.58,1.17,78.5,102.7,
12:53,12.1,89.1,3.49,2.66,1.18,78.5,103.1,
13:00,12.0,89.4,3.51,2.68,1.17,78.5,103.1,
13:07,12.0,89.4,3.57,2.75,1.19,78.5,103.6,
13:14,12.0,89.8,3.62,2.78,1.19,78.6,103.5,
13:21,12.0,89.9,3.67,2.85,1.19,78.6,103.5,94.7
13:28,11.9,90.1,3.72,2.9,1.19,78.7,103.6,
13:35,12.0,90.1,3.76,2.94,1.18,78.6,103.8,
13:42,12.0,90.3,3.8,2.99,1.2,78.7,103.9,
13:49,12.2,90.0,3.8,3.04,1.21,78.7,104.0,
13:56,12.1,89.7,3.81,3.1,1.22,78.8,104.5,
14:03,12.0,90.2,3.8,3.14,1.24,78.8,104.7,
14:10,11.9,89.9,3.79,3.19,1.26,78.8,104.9,
14:17,11.9,90.0,3.79,3.24,1.26,78.8,105.6,
14:24,12.1,90.2,3.79,3.3,1.28,78.9,106.0,94.0
14:31,12.0,89.8,3.8,3.32,1.31,78.9,106.1,
14:38,12.0,89.8,3.8,3.3,1.33,79.0,106.6,
14:45,11.9,89.8,3.81,3.3,1.32,78.8,107.0,
14:52,12.1,89.9,3.8,3.3,1.34,78.9,107.3,
14:59,12.0,90.1,3.8,3.31,1.36,78.9,107.5,
15:06,11.9,90.1,3.81,3.3,1.35,78.9,107.5,
15:13,12.0,90.0,3.8,3.3,1.35,78.9,107.5,
15:20,12.0,89.8,3.8,3.31,1.36,79.0,107.6,
15:27,12.0,89.7,3.79,3.3,1.37,79.0,107.9,93.4
15:34,12.0,90.0,3.8,3.32,1.38,79.1,108.0,
15:41,12.0,89.9,3.8,3.3,1.38,79.0,108.2,
15:48,12.0,90.1,3.79,3.29,1.37,79.0,108.2,
15:55,12.0,90.1,3.8,3.29,1.38,79.0,108.0,
16:02,12.1,90.0,3.8,3.32,1.38,79.1,108.0,
16:09,11.8,90.1,3.8,3.32,1.4,79.0,108.2,
16:16,12.0,90.0,3.8,3.3,1.38,79.0,108.3,
16:23,12.0,90.1,3.8,3.3,1.39,79.1,108.2,
16:30,12.0,89.9,3.81,3.31,1.4,79.0,108.2,93.0
16:37,12.0,90.0,3.8,3.29,1.4,79.1,108.3,
16:44,11.9,90.0,3.8,3.29,1.39,79.0,108.2,
16:51,12.0,90.1,3.8,3.31,1.38,79.1,108.2,
16:58,12.1,89.9,3.78,3.3,1.39,79.0,108.3,
17:05,11.9,90.1,3.79,3.3,1.38,79.0,108.2,
17:12,12.1,90.0,3.79,3.3,1.39,79.0,108.3,
17:19,12.0,90.0,3.79,3.3,1.38,79.0,108.3,
17:26,12.0,90.1,3.8,3.31,1.4,79.0,108.2,
17:33,11.9,89.7,3.79,3.3,1.39,79.1,108.2,93.1
17:40,12.0,89.8,3.8,3.31,1.39,79.0,108.6,
17:47,12.1,89.8,3.81,3.28,1.4,79.0,108.1,
17:54,12.0,89.6,3.8,3.3,1.39,79.0,108.0,93.2
